instrument_token,tradingsymbol,name,lot_size,tick_size
375553,JSWDULUX,JSW DULUX,1,0.1
4574465,JSWENERGY,JSW ENERGY,1,0.05
4869121,JSWINFRA,JSW INFRASTRUCTURE,1,0.05
3001089,JSWSTEEL,JSW STEEL,1,0.1
4632577,JUBLFOOD,JUBILANT FOODWORKS,1,0.05
712449,JUBLINGREA,JUBILANT INGREVIA,1,0.05
931073,JUBLPHARMA,JUBILANT PHARMOVA,1,0.05
5177345,JWL,JUPITER WAGONS,1,0.05
5461505,JYOTICNC,JYOTI CNC AUTOMATION,1,0.05
462849,KAJARIACER,KAJARIA CERAMICS,1,0.1
756481,KALYANKJIL,KALYAN JEWELLERS IND,1,0.05
470529,KARURVYSYA,KARUR VYSYA BANK,1,0.05
3095553,KAYNES,KAYNES TECHNOLOGY IND,1,0.1
3394561,KEC,KEC INTL.,1,0.05
3407361,KEI,KEI INDUSTRIES,1,0.5
3419905,KFINTECH,KFIN TECHNOLOGIES,1,0.05
1240833,KIMS,KRISHNA INST OF MED SCI L,1,0.05
5359617,KIRLOSENG,KIRLOSKAR OIL ENG,1,0.1
492033,KOTAKBANK,KOTAK MAHINDRA BANK,1,0.05
464385,KPIL,KALPATARU PROJECT INT,1,0.1
2478849,KPITTECH,KPIT TECHNOLOGIES,1,0.05
3817473,KPRMILL,KPR MILL,1,0.05
2983425,LALPATHLAB,DR. LAL PATH LABS,1,0.1
1745409,LATENTVIEW,LATENT VIEW ANALYTICS,1,0.05
4923905,LAURUSLABS,LAURUS LABS,1,0.1
667137,LEMONTREE,LEMON TREE HOTELS,1,0.01
194458881,LENSKART,LENSKART SOLUTIONS,1,0.05
194614529,LGEINDIA,LG ELECTRONICS INDIA,1,0.1
511233,LICHSGFIN,LIC HOUSING FINANCE,1,0.05
2426881,LICI,LIFE INSURA CORP OF INDIA,1,0.05
416513,LINDEINDIA,LINDE INDIA,1,0.5
4432129,LLOYDSME,LLOYDS METALS N ENERGY L,1,0.1
824321,LODHA,LODHA DEVELOPERS,1,0.05
2939649,LT,LARSEN & TOUBRO,1,0.1
6386689,LTF,L&T FINANCE,1,0.05
3536897,LTFOODS,LT FOODS,1,0.05
4561409,LTM,LTM,1,0.1
4752385,LTTS,L&T TECHNOLOGY SER.,1,0.1
2672641,LUPIN,LUPIN,1,0.1
519937,M&M,MAHINDRA & MAHINDRA,1,0.1
3400961,M&MFIN,M&M FIN. SERVICES,1,0.05
2912513,MAHABANK,BANK OF MAHARASHTRA,1,0.01
4879617,MANAPPURAM,MANAPPURAM FINANCE,1,0.05
3937281,MANKIND,MANKIND PHARMA,1,0.1
1850113,MAPMYINDIA,C.E. INFO SYSTEMS,1,0.05
1041153,MARICO,MARICO,1,0.05
2815745,MARUTI,MARUTI SUZUKI INDIA,1,1.0
5728513,MAXHEALTH,MAX HEALTHCARE INS,1,0.05
130305,MAZDOCK,MAZAGON DOCK SHIPBUIL,1,0.1
7982337,MCX,MULTI COMMODITY EXCHANGE,1,0.1
3060737,MEDANTA,GLOBAL HEALTH,1,0.1
194618625,MEESHO,MEESHO,1,0.01
548353,MFSL,MAX FINANCIAL SERV,1,0.1
4488705,MGL,MAHANAGAR GAS,1,0.1
6629633,MINDACORP,MINDA CORPORATION,1,0.05
4596993,MMTC,MMTC,1,0.01
1076225,MOTHERSON,SAMVRDHNA MTHRSN INTL,1,0.01
3826433,MOTILALOFS,MOTILAL OSWAL FIN,1,0.05
1152769,MPHASIS,MPHASIS,1,0.1
582913,MRF,MRF,1,5.0
584449,MRPL,MRPL,1,0.01
2200577,MSUMI,MOTHERSON SUMI WRNG IND L,1,0.01
6054401,MUTHOOTFIN,MUTHOOT FINANCE,1,0.1
91393,NAM-INDIA,NIPPON L I A M,1,0.1
1003009,NATCOPHARM,NATCO PHARMA,1,0.1
1629185,NATIONALUM,NATIONAL ALUMINIUM CO - NALCO,1,0.05
3520257,NAUKRI,INFO EDGE (I),1,0.05
1027585,NAVA,NAVA,1,0.05
3756033,NAVINFLUOR,NAVIN FLUORINE INT.,1,0.5
8042241,NBCC,NBCC (INDIA),1,0.01
593665,NCC,NCC,1,0.01
4598529,NESTLEIND,NESTLE INDIA,1,0.1
4462849,NETWEB,NETWEB TECH INDIA,1,0.1
615937,NEULANDLAB,NEULAND LAB,1,1.0
297985,NEWGEN,NEWGEN SOFTWARE TECH,1,0.05
3031041,NH,NARAYANA HRUDAYALAYA,1,0.1
4454401,NHPC,NHPC,1,0.01
102145,NIACL,THE NEW INDIA ASSU CO,1,0.01
6936833,NIVABUPA,NIVA BUPA HEALTH INS CO L,1,0.01
2197761,NLCINDIA,NLC INDIA,1,0.05
3924993,NMDC,NMDC,1,0.01
3630081,NSLNISP,NMDC STEEL,1,0.01
2977281,NTPC,NTPC,1,0.05
6957057,NTPCGREEN,NTPC GREEN ENERGY,1,0.01
4792577,NUVAMA,NUVAMA WEALTH MANAGE,1,0.1
1389057,NUVOCO,NUVOCO VISTAS CORP,1,0.05
1675521,NYKAA,FSN E COMMERCE VENTURES,1,0.05
5181953,OBEROIRLTY,OBEROI REALTY,1,0.1
2748929,OFSS,ORACLE FIN SERV SOFT,1,0.5
4464129,OIL,OIL INDIA,1,0.05
6342913,OLAELEC,OLA ELECTRIC MOBILITY,1,0.01
2723073,OLECTRA,OLECTRA GREENTECH,1,0.1
7481345,ONESOURCE,ONESOURCE SPECL PHARMA L,1,0.1
633601,ONGC,OIL AND NATURAL GAS CORP.,1,0.05
3689729,PAGEIND,PAGE INDUSTRIES,1,5.0
2493697,PARADEEP,PARADEEP PHOSPHATES,1,0.01
4359425,PATANJALI,PATANJALI FOODS,1,0.05
1716481,PAYTM,ONE 97 COMMUNICATIONS,1,0.1
678145,PCBL,PCBL CHEMICAL,1,0.05
4701441,PERSISTENT,PERSISTENT SYSTEMS,1,0.5
2905857,PETRONET,PETRONET LNG,1,0.05
3660545,PFC,POWER FIN CORP,1,0.05
676609,PFIZER,PFIZER,1,0.1
6491649,PGEL,PG ELECTROPLAST,1,0.05
3725313,PHOENIXLTD,THE PHOENIX MILLS,1,0.1
681985,PIDILITIND,PIDILITE INDUSTRIES,1,0.1
6191105,PIIND,PI INDUSTRIES,1,0.1
194513921,PINELABS,PINE LABS,1,0.01
194445057,PIRAMALFIN,PIRAMAL FINANCE,1,0.1
2730497,PNB,PUNJAB NATIONAL BANK,1,0.01
4840449,PNBHOUSING,PNB HOUSING FIN,1,0.1
1703937,POLICYBZR,PB FINTECH,1,0.1
2455041,POLYCAB,POLYCAB INDIA,1,0.5
6583809,POLYMED,POLY MEDICURE,1,0.1
2919169,POONAWALLA,POONAWALLA FINCORP,1,0.05
3834113,POWERGRID,POWER GRID CORP.,1,0.05
4724993,POWERINDIA,HITACHI ENERGY INDIA,1,5.0
2962177,PPLPHARMA,PIRAMAL PHARMA,1,0.01
6412545,PREMIERENE,PREMIER ENERGIES,1,0.1
5197313,PRESTIGE,PRESTIGE ESTATE,1,0.1
4270593,PTCIL,PTC INDUSTRIES,1,1.0
3365633,PVRINOX,PVR INOX,1,0.05
194489089,PWL,PHYSICSWALLAH,1,0.01
2813441,RADICO,RADICO KHAITAN,1,0.1
622337,RAILTEL,RAILTEL CORP OF IND,1,0.05
2408449,RAINBOW,RAINBOW CHILDRENS MED,1,0.1
523009,RAMCOCEM,THE RAMCO CEMENTS,1,0.05
4708097,RBLBANK,RBL BANK,1,0.05
3930881,RECLTD,REC,1,0.05
3649281,REDINGTON,REDINGTON,1,0.01
738561,RELIANCE,RELIANCE INDUSTRIES,1,0.1
7977729,RHIM,RHI MAGNESITA INDIA,1,0.05
962817,RITES,RITES,1,0.01
2921217,RKFORGE,RAMKRISHNA FORGINGS,1,0.05
3906305,RPOWER,RELIANCE POWER,1,0.01
4752897,RRKABEL,R R KABEL,1,0.1
2445313,RVNL,RAIL VIKAS NIGAM,1,0.01
6925313,SAGILITY,SAGILITY,1,0.01
758529,SAIL,STEEL AUTHORITY OF INDIA,1,0.01
7126785,SAILIFE,SAI LIFE SCIENCES,1,0.1
7712001,SAMMAANCAP,SAMMAAN CAPITAL,1,0.01
1719809,SAPPHIRE,SAPPHIRE FOODS INDIA,1,0.01
4546049,SARDAEN,SARDA ENERGY & MIN,1,0.05
1252353,SAREGAMA,SAREGAMA INDIA,1,0.05
4614657,SBFC,SBFC FINANCE,1,0.01
4600577,SBICARD,SBI CARDS & PAY SER,1,0.05
5582849,SBILIFE,SBI LIFE INSURANCE CO,1,0.1
779521,SBIN,STATE BANK OF INDIA,1,0.05
258817,SCHAEFFLER,SCHAEFFLER INDIA,1,0.1
7995905,SCHNEIDER,SCHNEIDER ELECTRIC INFRA,1,0.1
780289,SCI,SHIPPING CORP OF INDIA LT,1,0.05
794369,SHREECEM,SHREE CEMENT,1,5.0
1102337,SHRIRAMFIN,SHRIRAM FINANCE,1,0.05
1201409,SHYAMMETL,SHYAM METALICS AND ENGY L,1,0.05
806401,SIEMENS,SIEMENS,1,0.1
4798209,SIGNATURE,SIGNATUREGLOBAL INDIA,1,0.05
4834049,SJVN,SJVN,1,0.01
3539457,SOBHA,SOBHA,1,0.1
3412993,SOLARINDS,SOLAR INDUSTRIES (I),1,1.0
1199105,SONACOMS,SONA BLW PRECISION FRGS L,1,0.05
1688577,SONATSOFTW,SONATA SOFTWARE,1,0.05
2461953,SPLPETRO,SUPREME PETROCHEM,1,0.05
837889,SRF,SRF,1,0.1
1813249,STARHEALTH,STAR HEALTH & AL INS CO L,1,0.05
4378881,SUMICHEM,SUMITOMO CHEM INDIA,1,0.05
854785,SUNDARMFIN,SUNDARAM FINANCE,1,0.1
857857,SUNPHARMA,SUN PHARMACEUTICAL IND L,1,0.1
3431425,SUNTV,SUN TV NETWORK,1,0.05
860929,SUPREMEIND,SUPREME INDUSTRIES,1,0.1
3076609,SUZLON,SUZLON ENERGY,1,0.01
6936321,SWANCORP,SWAN CORP,1,0.05
6928897,SWIGGY,SWIGGY,1,0.05
2622209,SYNGENE,SYNGENE INTERNATIONAL,1,0.05
2763009,SYRMA,SYRMA SGS TECHNOLOGY,1,0.1
3884545,TARIL,TRANS & RECTI.,1,0.05
194371841,TATACAP,TATA CAPITAL,1,0.05
871681,TATACHEM,TATA CHEMICALS,1,0.05
952577,TATACOMM,TATA COMMUNICATIONS,1,0.1
878593,TATACONSUM,TATA CONSUMER PRODUCT,1,0.1
873217,TATAELXSI,TATA ELXSI,1,0.1
414977,TATAINVEST,TATA INVESTMENT CORP,1,0.05
877057,TATAPOWER,TATA POWER CO,1,0.05
895745,TATASTEEL,TATA STEEL,1,0.01
5195009,TATATECH,TATA TECHNOLOGIES,1,0.05
6077441,TBOTEK,TBO TEK,1,0.1
2953217,TCS,TATA CONSULTANCY SERV LT,1,0.1
3465729,TECHM,TECH MAHINDRA,1,0.1
1649921,TECHNOE,TECHNO ELEC & ENG CO.,1,0.1
1818881,TEGA,TEGA INDUSTRIES,1,0.1
5409537,TEJASNET,TEJAS NETWORKS,1,0.05
194529281,TENNIND,TENNECO CLEAN AIR INDIA L,1,0.05
193795585,THELEELA,LEELA PALACES HOTEL,1,0.05
889601,THERMAX,THERMAX,1,0.1
79873,TIINDIA,TUBE INVEST OF INDIA,1,0.1
3634689,TIMKEN,TIMKEN INDIA,1,0.1
3945985,TITAGARH,TITAGARH RAIL SYSTEMS,1,0.05
897537,TITAN,TITAN COMPANY,1,0.1
194504193,TMCV,TATA MOTORS,1,0.05
884737,TMPV,TATA MOTORS PASS VEH,1,0.05
900609,TORNTPHARM,TORRENT PHARMACEUTICALS L,1,0.1
3529217,TORNTPOWER,TORRENT POWER,1,0.1
193931521,TRAVELFOOD,TRAVEL FOOD SERVICES,1,0.1
502785,TRENT,TRENT,1,0.1
2479361,TRIDENT,TRIDENT,1,0.01
6549505,TRITURBINE,TRIVENI TURBINE,1,0.05
2292225,TTML,TATA TELESERV(MAHARASTRA),1,0.01
2170625,TVSMOTOR,TVS MOTOR COMPANY ,1,0.1
4278529,UBL,UNITED BREWERIES,1,0.1
2873089,UCOBANK,UCO BANK,1,0.01
2952193,ULTRACEMCO,ULTRATECH CEMENT,1,1.0
2752769,UNIONBANK,UNION BANK OF INDIA,1,0.01
2674433,UNITDSPR,UNITED SPIRITS,1,0.1
